Author	Rating 	Helpful - found	Helfpful%	Comments	Helpful - Total	Number of Records	Product Code	Product Name	User Rating	Sentiment	Usefulness	Product Posted On
Ritu Dudhoria	1	0	0	Received the product but unfortunately the product seems to be slightly defective/damaged. Overall i feel waste of 1200. My order for this trimmer was missplaced and the replacement order is not good.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		01-09-2015
Jailanee	1	0	0	it was not working and i returned it back.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		12-08-2014
Amazon Customer	1	0	0	THe charger got not working. now what can I do?	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		12-10-2015
amol	1	0	0	Actually I received at620 instead of qt4005	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		14-10-2015
venkata vijay	1	0	0	"i rarely use it, it had issues after 1st week of use. Have visited to service center, complained about the same. they repaired but stopped functioning after 1 day of the repair. would say a bad product"	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		14-09-2015
mohit pundora	1	0	0	The product is not very impressive and trims the hair same as a cheap trimmer can do.  Don't buy this. Gets heated up also very quickly -.-	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		16-08-2014
arnab	1	0	0	"Bad product not at all a product for amateur hand, had to keep rubbing it for a decent cut, it takes at least 10 mins of continuous trimming"	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		17-06-2014
Hrishi Ajgaonkar	1	0	0	"Third clss product by philips.. Awesome service by Amazon.. Bought dis and returned it in 3 dayz.. Worst battery backup.. Take too much time to charge.. Trimming is good no doubt, only prob is charging for 10hr then u can use it for f***ing 45 min only.."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		20-08-2015
Amazon Customer	1	0	0	Its not a good product. Its not working while charging. if we want to use it then we have to charge it approx 1-2 hours then it work only 15-20 minutes.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		20-10-2015
Amit Mehta	1	0	0	"Pathetic product. The brand has used a lot of clever advertising on TV for this product - bought it, poor plastic casing, bad blades, does not cut fine hair. The adjustment trimmer on top is really bad ... even on setting 3 it cuts very close ... and now the device does not charge. Works only when plugged into the socket else goes off. Overall a very poor experience, pathetic product."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		23-04-2015
Sanjib Das	1	0	0	"Damage product, charging light not indecate when i plugin for charging...very disappointed experience"	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		24-05-2015
Dinesh Prakash Goswami	1	0	0	"Its battery charged only for once and I could use it only once. Thereafter, it is lying defunct. I could not complain about it in time due to being overbusy."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		24-09-2015
Tejinder Singh	1	0	0	"VERY Poor , No Battery backup, discharge quickly, Shave is also not upto mark."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		25-09-2015
Amazon Customer	1	0	0	"review after use of 65 days.', ""Don't buy this product, if you have hard beard there will be 0 precision.even my other trimmer china product rs 150 works perfectly with more precision. when i use this product one side of my face is trimmed with the diff shapes and other side with diff shapes. here i want to tell the battery is too good, still i charged my trimmer 2 times only for more than 7 to 8 time of usages. and every time i finished trimming, i would trim my beard with 0 on the wheel,... i think this is my last purchase with philips products. and service is great with amazon."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		26-08-2015
